judet	an	servicii_publice_generale	aparare	invatamant	sanatate	cultura	asigurari_sociale	dezvoltare_locuinte_mediu	mediu	energie	transporturi	altele
	2009	72197847	11566033	197348851	3137626	31460618	96962421	52817359	0	38920290	52664519	3210010
	2010	61847934	10290342	172885994	7866099	29788916	98787097	50216272	0	29012479	72550664	971218
	2011	58645668	8538393	159918209	44381853	46784282	81432352	54344129	19176821	29263699	109077968	2512528
	2012	64278949	9351421	155837066	17934479	51035061	84001717	79146455	96018001	16409477	97744966	5779286
	2013	74315224	10446312	179871701	12884357	47083057	91212151	73762569	19641552	1337227	96581820	12588545
	2014	77193721	11112692	220551198	23748129	37468959	97278402	59150244	24757591	0	139161259	5476641
Buzău	2007	84221137	10087511	234835825	636946	29407961	128271715	70818002		34778451	55742791	1790966
	2008	101192393	13860119	298138429	1423579	41488391	144219231	94479060	0	24112328	77232959	4036482
	2009	89124011	14242215	287339872	3967981	39890245	137149530	91186636	0	29571758	76327075	3050623
	2010	81088532	12254149	250769683	18658084	34974960	153907493	94332570	0	26285857	92419253	4501499
	2011	80828306	11879615	215105897	29336946	41116211	119881632	55749820	58706914	22276087	89815742	4119545
	2012	93824806	18354545	230504629	16268064	50663997	124099250	54827872	22766845	31783979	99533122	4314644
	2013	110018839	15774452	260104650	20640318	60700568	132422847	48904452	24575277	19711375	129725029	4925798
	2014	113497048	18492268	323015071	28283846	56787276	135221397	67497454	43064527	46118611	142890844	5648849
Caraş - Severin	2007	72749295	7372921	155390623	977771	25633676	91866287	92719235		2765876	22045988	3999211
	2008	96368044	11046017	179995406	385900	30332956	108313545	94619665	0	6542030	24272550	3733415
	2009	91019309	10455736	184419193	887363	30848948	108603564	98534076	0	12349058	24047138	4854301
	2010	86528624	8492750	157282805	3599892	32087829	120269400	107082570	0	5706399	30469436	4825590
	2011	89425280	5584783	142627304	5615316	39620860	95755194	120329335	46041657	4132012	62422428	14631231
	2012	114571180	5690649	161044092	5239131	45975543	103720156	93471197	37654977	6047974	88989220	27229588
	2013	137079404	6099758	173697274	19185856	44469004	106880891	82453468	24832696	364670	55806423	28602083
	2014	139722001	11077322	193537441	27180735	47692012	107566969	108555924	94167743	2540652	78087483	26163479
Călăraşi	2007	58072958	1164249	137155133	971446	13971319	86993604	38869268		3919674	43988874	1777220
	2008	75702201	5956892	158404698	142085	23769735	103801791	49090016	0	2654367	72038900	1872986
	2009	70273940	6310852	150686621	873459	22500799	104966170	61033856	0	4694339	40921900	1155016
	2010	57905858	6225263	131471645	2365662	24122440	123695103	60132138	0	3234789	43839768	2160359
	2011	58060093	4021792	123604377	7417721	27980993	97393728	58529517	23556698	2168556	91214270	5230225
	2012	65503317	4573172	132142383	10759256	30292527	95068846	55304164	31181853	2707630	100329562	3978473
	2013	73534587	5486557	152012677	4713454	33550471	107952102	49250865	42240752	1681489	51640041	3542571
	2014	81427996	4951850	188732696	16680362	37915903	115656846	45291899	44769844	2093323	82393653	6701281
Cluj	2007	150781523	9278697	334961213	13061907	65050034	135687462	108797369		59462754	256443162	11260692
	2008	197715560	14591458	425901369	16582124	88990303	182785316	145594202	0	58669082	258039399	12756577
	2009	198876904	16127294	427291301	18194992	97962777	202585662	159029425	0	64031312	240043151	12223637
	2010	168781609	14138297	356665079	24308426	81783376	205245816	183367827	0	68368631	277037476	10239446
	2011	162791917	12922849	326835027	23607099	98753598	175465077	229038263	95430856	64574310	370748946	5947283
	2012	177509380	12540391	353734584	24735542	107097893	180453561	146917381	87126977	50034737	470906102	7504769
	2013	192216304	14490510	406260928	33555809	98594487	205854147	183938132	125471699	37199491	439525134	10548973
