judet	an	servicii_publice_generale	aparare	invatamant	sanatate	cultura	asigurari_sociale	dezvoltare_locuinte_mediu	mediu	energie	transporturi	altele
	2009	221961152	26264005	404795609	9235235	113697512	234454827	198156756	0	62133677	193485948	2391681
	2010	181323537	18555557	340628215	14434120	121734046	228900490	186816015	0	83131420	220640883	3649796
	2011	243581515	17490389	313970055	26496430	141448677	202997196	165544632	96733790	66461559	289289780	2248820
	2012	230754222	17723109	337651780	24516340	153008133	202063426	178682456	122782577	156514779	425147660	3977882
	2013	213355972	21227432	383857238	25510477	166180273	213233170	190711349	73726997	188575126	386835154	4515936
	2014	225724118	21843941	452309927	31460903	176386339	220039544	199150456	53991338	139685316	388631403	6888225
Tulcea	2007	59240662	3197320	113370736	977539	23656497	61196940	52260805		13799000	49958588	7551786
	2008	69379235	4703994	131518232	527148	27051627	76302312	68530779	0	15146000	34256698	9520102
	2009	70293194	5032856	135836904	1861795	26048608	81136220	83175784	0	15835300	59453817	28065482
	2010	68404909	4337024	116689775	3427513	49248666	85051835	95130286	0	14636500	72938754	26172024
	2011	64196292	4599197	106805472	7805148	58001058	71368694	81013761	27458889	19722556	105406331	13040708
	2012	78066118	4779022	110348595	6831846	46086153	73175759	65992695	21448025	18495810	40647442	12331902
	2013	78546674	4639524	124586831	14512459	32303068	81521435	58197505	25029145	19077832	49322926	11648257
	2014	120269931	5254600	142848524	36197220	34368710	82955880	65494227	29792442	17280097	101960054	19530485
Vaslui	2007	76027909	7754251	230818187	1790047	22880950	139594618	43086790		14767097	58111750	3290516
	2008	112860676	12421669	273947901	2714411	31933104	172629786	66118764	0	12849742	101281138	6286098
	2009	97019983	12571188	271330406	3629230	27088307	158881835	74164177	0	7836924	55336735	3333835
	2010	76719893	9610351	225140588	5505289	24426074	177163157	86913521	0	3756440	103967776	11484311
	2011	78169138	6150386	212331791	6577708	28560982	136683159	84754524	26409657	1404151	150974826	15042682
	2012	81406691	10149999	221991185	14260110	36882734	141383986	85033299	29545567	1172747	102252124	17777958
	2013	84624454	5708943	246656672	46950522	33178671	155557891	63315685	64676668	1496305	110063004	20587063
	2014	93732629	9250498	289986712	22973908	33579510	162315231	62317647	73018994	883542	112372537	9267653
Vâlcea	2007	86237165	5566802	217219650	1563521	29939358	126762818	96620706		12620277	69108701	799065
	2008	120795289	7649247	247665513	1838308	41540050	144531428	95290673	0	9128643	123167324	1177063
	2009	113225561	7284147	240587842	2670316	43719532	143513619	71221848	0	13139930	83473319	2907381
	2010	90417141	5422995	204139771	5887661	44545445	164769739	78462278	0	49606678	112210564	6533273
	2011	96072674	4505188	189842053	9520368	100501563	144015448	67314883	33883394	55434614	140075681	9926818
	2012	111971119	6028178	212080398	5394662	87141586	145529407	66038137	41146944	10069544	180380151	7095596
	2013	106675704	5853324	217125450	12934396	45562359	162972299	46485144	28400506	14679026	183065961	13267288
	2014	118348418	6565300	257518908	23136320	95263305	176985752	74311438	63456255	24773821	271840875	5674548
Vrancea	2007	73272021	4943280	180370517	991000	17815757	123167041	56327599		35120158	78481601	558671
	2008	105105765	7076657	207844001	1997412	31827677	152000306	64421515	0	22820826	142972819	1553925
	2009	96516529	5779291	203931842	1864107	26492110	150749561	68923974	0	33104989	61013410	1898444
	2010	87045409	4926343	177717703	4351008	30293104	168855905	55432173	0	33902873	76535705	3562471
	2011	75981147	6177561	164006526	4171643	30722800	136240629	59058568	27664425	25457087	85485612	7214190
	2012	82663571	8979369	176093511	8083889	39246526	128488665	52139974	10715035	55317244	73288197	6004695
	2013	96379763	9155666	209182939	7057574	47619848	134229350	52640805	19323458	69622414	64826912	43171089
	2014	106350964	9207551	237710998	13974436	39977782	134106853	55102473	33358719	28284755	85590896	21334388
Mun. Bucureşti	2007	496312060	79747388	855361760	14947467	574429104	457812853	636557411		540030915	2037849687	19013392
	2008	616264115	127882927	1336607499	20294698	799069482	615708693	607097399	0	688428766	2026238084	161987877
	2009	763886657	145740612	1292319917	192835874	925828148	660301429	914505376	0	919469644	1494754845	20810100
	2010	874405499	127513884	1068814084	205677479	917165653	600356018	1038672436	0	780667693	1325727194	9626442
	2011	772684054	121543524	1050433536	201218573	1066774177	677753845	542671710	471799199	772471291	1358336789	25609504
	2012	718070785	122332697	1223725930	188403845	1047656449	673044203	783275828	456457172	650666503	1374399699	19930166
	2013	813738793	153974398	1309427651	180111246	882996629	664524088	862243855	539894080	548407635	1359172434	4321409
	2014	874058860	154822023	1415824427	246429730	928670262	684180070	693876601	594229842	610288856	1355128519	3890901
